ID;LEVEL;TITLE;DESC;EFFECT (MULTIPLICADOR);PRICE;UNLOCKED;BOUGHT;TYPE;SPRITE;GENERATOR
101;0;Doble click;Has aprendido a usar las dos manos para alimentar al líder, ¿por qué no lo habías hecho antes?;2;1000;false;false;click;1-doble-click;-100
102;0;Triple click;No sabemos de donde has sacado el tercer brazo, pero te sirve para alimentar al líder.;3;5000;false;false;click;2-triple-click;-100
103;0;Cuádruple click;De pequeño te regalaron un omnitrix, resulta que funciona de verdad y puedes transformarte en Cuatrobrazos.;4;10000;false;false;click;3-quad-click;-100
104;0;Quíntuple click;Ahora cada click vale 5... No hace falta escuchar la rima.;5;50000;false;false;click;4-cinco-click;-100
105;0;Deci-click;Enhorabuena, tienes un 10.;10;100000;false;false;click;5-deci-click;-100
106;0;Centi-click;Tu ritmo de alimentación es prácticamente inhumano.;100;1000000;false;false;click;6-centi-click;-100
107;0;Mil-click;Podrías alimentar a toda África en segundos... Pero el líder es más importante.;1000;10000000;false;false;click;7-mil-click;-100
108;0;Millón-click;Ahora con la comida que generas y ofreces por segundo podrías acabar con el hambre mundial, mala suerte que el mundo no entienda tu propósito.;1000000;10000000000;false;false;click;8-millon-click;-100
109;0;Billón-click;Puedes coger planetas con las manos y dárselos al líder.;1000000000;10000000000000;false;false;click;9-billon-click;-100
110;0;Billardo-click;Tus manos son agujeros de gusano que extraen materia del universo y la conducen directamente a la boca del líder.;1000000000000;10000000000000000;false;false;click;10-billardo-click;-100
111;0;Prensa cuántica;Fuck relatividad, comprime los alimentos y los hace más densamente energéticos.;1,25;5000;false;false;prensa;11-Prensa_cuantica;-500
112;1;Prensa cuántica II;Mejora a nivel 2 de la prensa cuántica. ¡Es como ponerle mantequilla de cacahuete entre alimento y alimento!;1,5;50000;false;false;prensa;12-Prensa_cuantica;-500
113;2;Prensa cuántica III;Mejora nivel 3 de la prensa cuántica. Ahora le echas diesel a cada bocado para aportarle un toque de energía.;1,75;1000000;false;false;prensa;13-Prensa_cuantica;-500
114;3;Prensa cuántica IV;Mejora nivel 4 de la prensa cuántica. Has empezado a echarle uranio a la comida para que haya más calorías. Qué sabio eres.;2;10000000000;false;false;prensa;14-Prensa_cuantica;-500
115;4;Prensa cuántica V;Mejora nivel 5 de la prensa cuántica. Los alimentos son ahora un pozo energético.;3;10000000000000000;false;false;prensa;15-Prensa_cuantica;-500
116;0;Látigo;Los criados necesitan un incentivo, la mano dura es el método más efectivo. Triplica su eficiencia.;2;10000;false;false;0generador;mejoras16-20;0
117;1;Jerarquía;Tus sirvientes forman una jerarquía: todos están condenados a seguir al líder, pero con distinto rango.;2;100;false;false;0generador;mejoras16-20;0
118;2;Químicos;Diseñas unas drogas especiales que aumentan la eficiencia de tus sirvientes.;4;1000;false;false;0generador;mejoras16-20;0
